routeID,Start,Destination,Human_Summary,AI_SummaryCOT,BERT_Precision,BERT_Recall,BERT_F1,Cosine_Similarity,BLEU_Score
"946 E 55th St. Los Angeles, CA 90011 to 2655 Sichel St. Los Angeles, CA 90031","946 E 55th St. Los Angeles, CA 90011","2655 Sichel St. Los Angeles, CA 90031","The modality I use for travel is my car, which is a honda civic. The total time it takes me to get from one place to the other is about 20 mins, and I tend to travel later in the evening around 6:00 pm. I make a left turn onto Central ave.  then I drive straight until 17th St. from there I turn onto the 10 freeway. Once on the freeway I exist on Broadway Ave. Landmarks I use are the LA river, the abandoned women’s hospital, the sears building, and the KFC so i know when to turn on Sichel. There is no complex part of the route that the driver needs to be aware of at all other than there is typically a traffic jam just before getting off on Broadway, so I recommend being in the right most lane as soon as possible.","The route ""S Central Ave and I-5 N"" from a premise near E 55th St in Los Angeles to a premise near Sichel St in Los Angeles covers a total distance of 7.8 miles and takes approximately 20 minutes. Starting from E 55th St, you will head south on S Central Ave. After traveling for about 2 miles, you will reach the interchange with I-10 E. Here, you will merge onto I-10 E and continue for around 2.5 miles. You will then take the exit to merge onto I-5 N. As you travel on I-5 N for approximately 2 miles, you will pass through both residential and commercial areas. Finally, you will take the exit toward Main St and continue on Main St until you reach the premise near Sichel St. Throughout the route, you will encounter various turns, highway merges, and ramps, providing a relatively quick and direct path to your destination. Traffic conditions and landmarks along the way may influence the overall travel time.",0.8387746810913086,0.831434965133667,0.8350887298583984,0.46264713046674255,7.411994825316195e-232
55th st los angeles ca 90011 to s figueroa st los anegeles ca 90017,55th st los angeles ca 90011,s figueroa st los anegeles ca 90017,"I drive to and from work 2-3 times a week. The total time is about 20 mins- depending on traffic- can take up to 45 mins to drive 6 miles. There are one way streets but i only use them to get on the fwy. On my journey- to and from work there are no significant landmarks but I do drive by various neighborhoods and commercial areas in LA. There are some traffic lights , different speed limits because i do drive through school zones and the fwy. I usually travel early in the morning (5:30) and leave late in the evening (7pm)","The journey begins at the intersection of 55th Street and McKinley Avenue in Los Angeles. You will start by heading west on E 55th St. After traveling for about 0.5 miles, you will make a right turn onto S Grand Ave. You will continue straight on S Grand Ave for approximately 1.2 miles until you reach the entrance ramp on the left to merge onto I-110 N highway. Once on the highway, you will continue on I-110 N for about 3.8 miles, which will then transition into CA-110. You will take the exit toward Downtown and merge onto the local streets. Finally, you will make a left turn onto S Figueroa St, where your destination in downtown Los Angeles is located. Throughout the journey, you may encounter typical highway traffic conditions and landmarks such as the Los Angeles Convention Center and the Staples Center. The total distance of this route is 5.9 miles, and the estimated duration is 15 minutes.",0.8191438317298889,0.82547926902771,0.8222994208335876,0.40032778664716323,8.551484609999234e-232
"2657 Sichel st, Los Angeles CA 90031 to 1200 Cornwell St Los Angeles, CA  90033 ","2657 Sichel st, Los Angeles CA 90031","1200 Cornwell St Los Angeles, CA  90033 ","The modality I use when taking this route is my mother’s car, which is a BMW. The total time travel between my starting point and destination is 7 minutes. I usually travel between 8:10am and 8:15am. Leaving my starting destination, I make one left turn and continue on straight from there. The roads I take include Griffin Ave, Zonal Ave, and Cornwell St which are not one way streets.  The only significant traffic signs I follow in this route are three Stop signs and there are no other significant landmarks. This route is overall very straightforward and easy to follow as it is short distance and doesn’t involve taking any highways or roundabouts,  the only thing a new driver should be aware of is keeping an eye out when approaching the destination because there is a hospital right before it and so people are crossing back and forth between the sidewalks, especially in the morning.  ","The journey begins at the intersection of Sichel Street and E Avenue 25 in Los Angeles. You will head south on Sichel Street, passing through a residential area. After traveling for about 0.4 miles, you will reach the intersection with E Avenue 26, where you will make a left turn. This turn will lead you into a slightly busier street with more commercial buildings. Continuing for approximately 0.3 miles, you will then make a right turn onto N Griffin Avenue. This road will take you through a mix of residential and industrial areas. After driving for about 0.5 miles, N Griffin Avenue will merge into Zonal Avenue. Zonal Avenue is a wider street with multiple lanes, and you will continue straight on it for approximately 0.5 miles. Along this stretch, you may encounter some traffic due to the proximity to the University of Southern California Medical Center. Finally, you will reach the intersection of Zonal Avenue and Cornwell Street, where your destination, Cornwell Street, is located. The route offers a direct and efficient path with minimal turns, allowing for a quick and straightforward journey from the starting point to the destination.",0.8404392600059509,0.8423693180084229,0.8414031267166138,0.3974191785019757,6.140205381349167e-232
"Davis St, Fremont, CA 94538 to Washington Sq, San Jose, CA 95192","Davis St, Fremont, CA 94538","Washington Sq, San Jose, CA 95192","The route starts from my house and ends at San Jose State University. The total travel time is 35 minutes, and the total distance is roughly 20 miles. You have to take a left on Grimmer, a right on Fremont Blvd, and then a left about a mile and a half away to merge onto 680N. After a while, you will merge onto 280N, where you will take the 7th street exit and drive down about a mile to reach San Jose State University. ","The journey from near Davis St in Fremont, California, to near E San Fernando St in San Jose, California, covers approximately 16.3 miles and takes about 26 minutes. Starting from Davis St, you head west and make a left onto Stevenson Blvd. From there, you make a slight right to merge onto I-880 S. You continue on I-880 S and take exit 4C toward US-101 N/San Francisco/10th Street. After the exit, you turn left onto Old Bayshore Hwy and then make a right onto N 10th St. Finally, you make a right onto E San Fernando St, reaching your destination in San Jose. The route offers a mix of highway driving and city streets, ensuring a smooth transition from Fremont to San Jose. Traffic conditions and landmarks along the way may influence the journey, so it's essential to stay aware of your surroundings for a safe and efficient trip.",0.8667329549789429,0.8931035399436951,0.8797206878662109,0.5970651441378685,7.156422969333831e-232
"1056 Escalona Drive, Santa Cruz, CA 95060 to 710 John R. Lewis College Rd, Santa Cruz, CA 95064","1056 Escalona Drive, Santa Cruz, CA 95060","710 John R. Lewis College Rd, Santa Cruz, CA 95064","The route starts from Escalona Drive and Bay Street and ends at the John R Lewis College at UCSC in Santa Cruz. The total travel time will be around 8 minutes, and the total distance will be 3 miles. You will first have to turn right onto Bay Street, go straight up from 3 miles from Bay Street which converts to Coolidge Drive and then converts into McLaughlin Drive. Next, turn right to enter the college. It’s a very simple route.","The route begins near Escalona Drive in Santa Cruz, California, and spans a total distance of 3.0 miles, with an estimated duration of 8 minutes. Starting on Coolidge Drive, you will turn right onto Bay Street, passing by the Santa Cruz Harbor on your right. Continuing straight on Coolidge Drive, you will then turn onto McLaughlin Drive, where you will encounter some light traffic due to the proximity to the University of California, Santa Cruz campus. Turning right onto College Ten Road, you will pass by the campus entrance before making a sharp left to reach the destination near College Ten Road. This route offers a mix of turns and straight roads, providing a quick and efficient way to reach the final destination.",0.8920301198959351,0.8998483419418335,0.8959221839904785,0.62804987157429,8.588198359462805e-232
"Rachel Carson College, 356 Rachel Carson Rd, Santa Cruz, CA 95064 to 4S S Montgomery St, San Jose, CA 95110","Rachel Carson College, 356 Rachel Carson Rd, Santa Cruz, CA 95064","4S S Montgomery St, San Jose, CA 95110","This route consists of 2 different bus routes. The 1st bus route starts at Oakes Rd. and Heller Drive. The route number is 18 and travels to Front & Soquel Ave. in about 15-20 minutes. Wherein a walk to another bus stop alongside Soquel Ave for bus route 17 is needed. The 17 route costs 7$. After a wait for the route which comes every hour, the bus travels up through Ocean St. before merging onto highway 17. After 30-40 minutes on highway 17, the bus takes a ramp to the right onto highway 280. After 5-7 minutes the bus exits the highway on exit 3b and takes a left on Bird ave. which into Barack Obama Blvd. Then a left on W San Fernando st. then a right on Cahill St. which finally arrives onto the parking lot of San Jose Diridon Station.","The journey begins near Heller Drive in Santa Cruz, California. You will start by heading east on College Eight Road, passing through the scenic campus of the University of California, Santa Cruz. After that, you will turn left onto Empire Grade, a winding road that offers beautiful views of the surrounding redwood forests. Continuing on Empire Grade, you will eventually reach the intersection with High Street, where you will turn right and drive through the bustling downtown area of Santa Cruz. From there, you will navigate through the city streets, making your way onto Storey Street and then onto King Street before merging onto Mission Street. As you travel south on Mission Street, you will eventually merge onto CA-1 South, where you will enjoy a coastal drive along the Pacific Ocean. After a stretch on CA-1, you will transition onto CA-17 North, a highway that will take you through the Santa Cruz Mountains. Upon reaching San Jose, you will merge onto I-280 South, passing through suburban neighborhoods before transitioning onto CA-87 North. Finally, the route concludes at Barack Obama Boulevard in San Jose, California, offering a mix of urban and scenic driving experiences throughout the 34.7-mile journey.",0.8371472358703613,0.8369577527046204,0.8370525240898132,0.4109309733023227,6.921464794211712e-232
"Jigatala, Dhaka, 1209 to Banani 1, Dhaka, 1213","Jigatala, Dhaka, 1209","Banani 1, Dhaka, 1213","The route starts from Jigatala Road and Ends at Banani Road 1. The total time taken is between 30 minutes to 1 hour on a car depending on traffic and the total distance is about 9 km. From Jigatala road  first you have to turn left on Shat Masjid Road, then a right on Dhanmondi road 27. Then you have to take a left and then a right to go up on Shanshad bhaban road. From there you have to take a left, cross the Bijay Sarani signal. There is usually a significant amount of traffic at this signal.  After crossing the signal take a right, then take another right near Jahangir gate, go over the Mohakhali flyover. Finally take a right near Banani Chairmanbari to enter Banani road number 1. ","Starting at Jigatala Road, you will head southwest and take a left onto Staff Quater Road. Continuing straight, you will then turn right onto Satmasjid Road, passing by Fashion Optics Limited on your left. After a short distance, you will reach Manik Mia Avenue, where you will turn left. As you proceed on Manik Mia Avenue, you will pass by Laser Aesthetics on your right. Continuing straight, you will then turn right onto Bir Uttam Ziaur Rahman Road. Along this road, you will pass by the Parliament Building Avenue before reaching your destination at Road No. 23. The journey will take you through a mix of urban scenery and local attractions, providing a glimpse of the vibrant city life in Dhaka. Traffic conditions and landmarks like Fashion Optics Limited and the Parliament Building Avenue will guide you through the 10.0-kilometer route, which should take approximately 27 minutes to complete.",0.8405455946922302,0.8443323373794556,0.8424347043037415,0.49848161109517064,7.615624063802454e-232
"Reed & Graham, Inc. - Asphalt & Recycled Aggregates, 690 Sunol St, San Jose, CA 95126 to Tennis courts - Almarida, San Jose, CA 95128","Reed & Graham, Inc. - Asphalt & Recycled Aggregates, 690 Sunol St, San Jose, CA 95126","Tennis courts - Almarida, San Jose, CA 95128","The route starts from Reed and Graham Inc. and ends at the Tennis Courts in Almarida San Jose. The total travel time will be around 11 minutes, and the total distance will be 4.4 miles. You will first have to turn left on Savaker Ave, take a left on Lincoln, and then follow Parkmoore Ave until you merge onto I-280 N towards CA-17. From there, you must do two lane changes to take exit 5B towards Santa Cruz. Once you are on the 17, you will use the right lane to take the exit toward East Hamilton Ave. Once you are on Hamilton Ave, take a right at the signal and go straight on Almarida Dr until you reach the destination. There will be a roundabout on that road, so take care when driving. ","The route begins near Sunol Street in San Jose, California, and heads south on Auzerais Avenue. After a short distance, the driver turns left onto Bird Avenue and continues until merging onto I-280 North. The driver stays on I-280 North for several miles, passing through urban areas and potentially encountering moderate traffic conditions. After a smooth highway drive, the driver merges onto CA-17 South, navigating through any traffic on the interchange. The driver continues on CA-17 South, possibly experiencing some congestion as they approach Campbell. Finally, the driver exits onto East Hamilton Avenue and makes a right turn onto Almarida Drive, reaching the destination near Almarida Drive in Campbell, California. The route offers a mix of city streets and highways, providing a quick and efficient way to cover the 5.4-mile distance in approximately 10 minutes.",0.8706637024879456,0.8689647316932678,0.8698133826255798,0.5004631238691141,7.047132507783707e-232
"Ali Ahmed High School, Khilgaon, Dhaka-1219, Bangladesh to Road Number 11, Banani, Dhaka-1213, Bangladesh","Ali Ahmed High School, Khilgaon, Dhaka-1219, Bangladesh","Road Number 11, Banani, Dhaka-1213, Bangladesh","The route starts from Ali Ahmed High School, Khilgaon and ends at the Road Number 11, Banani. The modality I use is car. The total travel time will be around 30 minutes, and the total distance will be 6.9 kilometers. You will first have to reach Rampura Bridge by crossing Abul Hotel. From there, you must turn left and take the Hatirjheel Road which will take you to the Hatirjheel Development Board Building. Then you have to turn right and reach Police Plaza Concord Shopping Mall. Once there, keep going straight even after crossing Gulshan-1 Mor. After some time, take a left turn near the UCB Commercial Bank Head Office and keep going straight. After crossing a bridge, you will reach your destination. The road in Hatirjheel may seem a bit confusing so take care while driving.","The journey begins at Shekher Jayga - Staff Quarter Road and heads towards Rampura - Staff Quarter Road, covering a total distance of 13.2 kilometers. The route involves several turns and lane changes, including navigating through Banasree - Staff Quarter - Demra Road and passing through the Hatir Jheel U-Turn Loop. As the journey progresses, it crosses Bridge Number 2 and continues through areas like Gulshan Avenue and Kamal Ataturk Avenue before reaching the final destination at Road No. 11. Throughout the drive, drivers will encounter various landmarks and traffic conditions, requiring careful maneuvering to efficiently navigate the city streets. The estimated time to complete the journey is approximately 38 minutes.",0.8590726852416992,0.8548949360847473,0.8569787740707397,0.5327121057136065,6.3326528443932364e-232
"Niketon road, Bangladesh, N/A, 1212 to Progati Sarani, Bangladesh, N/A, 1212","Niketon road, Bangladesh, N/A, 1212","Progati Sarani, Bangladesh, N/A, 1212","The route starts from Niketon residendial area and ends at the new Brac University campus at Badda. The total travel time will be around 20 to 25 minutes, and the total distance will be 2-3 kilometers. You will first have to turn right on road 8 of Niketon and then move forward until you reach at road 4, then take a right on road 4 and move towards the 1st gate of Niketon residendial area. From there, you must cross the Gulshan road and then take a new rickshaw to Badda from Police Plaza Shopping Mall.","The journey from Gulshan Avenue to Progoti Sarani Road in Dhaka, Bangladesh, starts near Road No. 3 Block B and heads north. Along the way, you will pass landmarks such as Butterfly, Hisense, eco+, SAMSUNG, LG, Haier, Toshiba, and JOLCHHOBi TOWER. The route includes turns and name changes on the roads, with a U-turn near Brothers Furniture Limited. After traveling north for about 5.1 kilometers, the route ends at Progoti Sarani Road after a slight left turn. The path offers a mix of straight roads and turns, providing an efficient way to reach the destination in approximately 17 minutes. The journey is relatively straightforward, with no major traffic congestion reported during the route.",0.8340815901756287,0.841049313545227,0.8375509977340698,0.5327385151056679,6.921464794211712e-232
